SampleID,GeneCount
KR,367209
Umea1,534111
Ki3,509860
SAS2B,115341
Ki1,319795
Loclat4,699799
Loclat2,820576
SAS2A,330194
YR,293459
Loclat1,1415922
Loclat5,1148940
C2_4,61610
AM,986842
MJ,676382
AM2,505415
SAS2C,124533
Loclat3,860563
SAS2D,146774
LJ,1215978
LP,477667
Erken,1590868
Loclat6,1030996
Ki2,624176
VK,467132
KT,1205682
Umea2,779362
Loclat7,776542
